No,PORTNAME
1007,CARACAS
1008,BANYAS
1009,SI RACHA
1010,EUROPA
1011,BERBERA
1012,LATINA
1013,AZZORRE
1014,NANTONG
1015,DIEGO GARCIA
1016,HUANG-PU
1017,SANTA MARIA LEUCA
1018,PISA
1019,GROSSETO
1020,POINT LISAS
1021,PORTOPALO
1022,RAYONG
1023,LABUAN
1024,WELLINGTON
1025,OSP BRESCIA
1026,IN PESCA FINO AL 5/2/04
1027,ROMA OSP.GEMELLI
1028,SAN PEDRO
1029,ANGRA DOS REIS
1030,MOA
1031,MADEIRA
1032,GDANSK
1033,ISDEMIR
1034,SANTO TOMAS
1035,NEDERLAND
1036,COREA
1037,FRANCIA
1038,MAZATLAN
1039,TOWNSVILLE
1040,BOLOGNA
1041,SAN LORENZO
1042,EGYPT
1043,POZZALLO
1044,MINA SAUD
1045,THAMESPORT
1046,ITACOATIARA
1047,OKHA
1048,MAOMING
1049,INGHILTERRA
1050,QUINGUANGDAO
1051,MINDELO
1052,FALCONARA
1053,MAR NERO
1054,SAN ANTONIO
1055,CORK
1056,IJMUIDEN
1057,TURCHIA
1058,CAPRI
1059,RIVA DI TRAIANO
1060,SHIMOTSU
1061,ENDEAVOUR TERMINAL
1062,ESTONIA
1063,BASTIA
1064,HADERA
1065,DANIMARCA
1066,CAPO PASSERO
1067,GIOIA TAURO
1068,ESCOUMINS
1069,SW PASS
1070,COURACAO
1071,MALTA
1072,SAN NICOLAS
1073,ISOLE CANARIE
1074,MUMBAI
1075,BOMBAY
1076,KOBE
1077,UDDEVALLA
1078,COATZACOALCOS
1079,PUERTO ORDAZ
1080,ALTAMIRA
1081,ARGUINEGUIN
1082,BIRINGKASSI
1083,NAIROBI
1084,SRI LANKA
1085,AUSTRALIA
1086,PUERTO MORALES
1087,PORT KELANG
1088,DANZICA
1089,SAFAGA
1090,OMAN
1091,LAVERA
1092,ARABIA SAUDITA
1093,VIANA DO CASTELO
1094,LAMINARIA
1095,ARUBA
1096,ARGENTINA
1097,SIKKA
1098,LIANYUNGANG
1099,PORT QASIM
1100,VILA DO CONDE
1101,TAIWAN
1102,SETUBAL
1103,CAP LOPEZ
1104,ASHDOD
1105,KONAKRI
1106,NEW ZELAND
1107,KHORRAMSHAHR
1108,GUANTA
1109,CAMPANA
1110,VIZAG
1111,PORT ARRIETA
1112,BERGAMO
1113,MATSUURA
1114,LA PAMPILLA
1115,DELFZIJL
1116,PAVIA (OSP. S.MATTEI)
1117,CAPO VERDE
1118,BAHRAIN
1119,DUMAI
1120,PONTA DA MADEIRA
1121,PUERTO CALDERA
1122,KOREA
1123,MADAGASCAR
1124,PORT CANAVERAL
1125,NEWPORT NEWS
1126,RAS TANURAH
1127,GREENOCK
1128,TOKYO
1129,LAVAGNA
1130,SOUTH AFRICA
1131,ALANG
1132,CHAH BAHAR
1133,ANGOLA
1134,TARTOUS
1135,LOCRI
1136,TORINO
1137,SARDEGNA
1138,PORVOO
1139,MARIVELAS
1140,DAMPIERRA
1141,DESERTES
1142,MONTOIR
1143,MEXICO
1144,PADOVA
1145,BISCAGLIA
1146,VADINAR-LPO
1147,JOHANNESBURG
1148,KOALACK
1149,PORTO ROSARIO
1150,TUXPAN (MEXICO)
1151,GUEMA
1152,MAR GIAPPONE
1153,KOHSICHANG
1154,JABEL ALI
1155,MACEIO
1156,DORTYOL
1157,GIANNUTRI
1158,PORTO ERCOLE
1159,IRAN
1160,UBU
1161,PORTO S.STEFANO
1162,P.S.STEFANO
1163,CHENNAI
1164,CALLAO
1165,HOPING
1166,ILLA DE SAO VINCENTE
1167,YANGON
1168,ROMA
1169,MULDAWARKA
1170,TURBO COLUMBIA
1171,GUAYANILLA
1172,GUETEMALA
1173,OSAKA
1174,SAKAI
1175,COLUMBIA RIVER
1176,MAROCCO
1177,SHUIDONG
1178,TORRES STRAIT
1179,YANBU
1180,IRAQ
1181,REGGIO CAL.
1182,NECOCHEA
1183,PIPAVAV (INDIA)
1184,MATARANI
1185,AL JUBAIL
1186,GOLFO ARANCI
1187,PORTOEMPEDOCLE
1188,ENGLAND
1189,IRLANDA
1190,GREENORE
1191,FERDINANDO DI NORONA
1192,PHILIPPINE
1193,CEFALU'
1194,HEROYA
1195,THESSALONIKI
1196,GOLFO PERSICO
1197,BIK (IRAN)
1198,SWEDEN
1199,ESPERANCE
1200,PIRIE
1201,PORT GILES
1202,BEILUN
1203,BARBADOS
1204,VERACRUZ
1205,GAMBA TERMINAL
1206,GULF OF MEXICO
1207,S ANTIOCO
1208,PITCAIRN
1209,MALESIA
1210,SAPELE
1211,BURNSIDE
1212,BATAM
1213,TRAMANDAI
1214,FIRENZE
1215,STADE
1216,CHINA
1217,UJUNG PANDAND
1218,SALONICCO
1219,ASH SHIR
1220,CANNAKKALE-DARDINALS
1221,CHARLESTON
1222,ALGHERO
1223,URUGUAY
1224,ANCUD
1225,PASAJES
1226,MERIDA
1227,NANJING
1228,JAPAN
1229,URAGA
1230,VARNA
1231,POINTE-A-PITRE
1232,OLANDA
